DATE_DECISION,AMT_CREDIT,SKP_CREDIT_STATUS,SKP_ALTERNATIVE_TYPE,TEXT_CUTOFF_DESC_PRE,PRODUCT_RISK_GROUP,ZHIMA_SCORE,SCORE,RANDOMNUMBER2
08/05/2017,10000,8,2,,,,,0.785814405
08/05/2017,10000,7,2,,,,,0.971284924
08/05/2017,20000,8,2,,,,,0.103816273
08/05/2017,10000,7,2,,,,,0.392415737
08/05/2017,45000,7,2,,,,,0.777044672
08/05/2017,25000,7,2,,,,,0.167133728
08/05/2017,45000,8,2,,,,,0.260586561
08/05/2017,20000,7,2,,,,,0.07502147
08/05/2017,15000,8,2,,,,,0.361318711
08/05/2017,25000,8,2,,,,,0.487500094
08/05/2017,45000,7,2,,,,,0.745467595
08/05/2017,27000,8,2,,medium,741,,0.604684493
08/05/2017,10000,8,2,,,,,0.204692654
08/05/2017,20000,8,2,,,,,0.032634278
08/05/2017,30000,7,2,,,,,0.299766806
08/05/2017,40000,8,2,,,,,0.160811362
08/05/2017,40000,8,2,,,,,0.339290335
08/05/2017,30000,8,2,,,,,0.476227381
08/05/2017,30000,8,2,,,,,0.93937535
08/05/2017,30000,7,2,,,,,0.930825519
08/05/2017,45000,8,2,,,,,0.703851927
08/05/2017,10000,7,2,,,,,0.058747319
08/05/2017,10000,8,2,,,,,0.931654631
08/05/2017,30000,8,2,,,,,0.2192442
08/05/2017,30000,7,2,,,,,0.067136409
08/05/2017,45000,8,2,,medium,664,,0.309169852
08/05/2017,45000,8,2,,,,,0.45926058
08/05/2017,10000,8,2,,,,,0.346600095
08/05/2017,5000,8,2,,,,,0.043559542
08/05/2017,20000,7,2,,,,,0.358466052
08/05/2017,15000,8,2,,,,,0.803531254
08/05/2017,5000,7,2,,,,,0.061156945
08/05/2017,6000,7,2,,,,,0.084403308
08/05/2017,10000,7,2,,,,,0.620129224
08/05/2017,45000,8,2,,high,654,,0.226585623
08/05/2017,40000,8,2,,high,460,,0.639360247
08/05/2017,30000,7,2,,,,,0.945339087
08/05/2017,8000,8,2,,,,,0.124503272
08/05/2017,45000,8,2,,medium,663,,0.406128297
08/05/2017,20000,8,2,,medium,591,,0.258557458
08/05/2017,45000,8,2,,medium,654,,0.284729352
08/05/2017,45000,8,2,,high,583,,0.163885765
08/05/2017,5000,8,2,,high,647,,0.683816944
08/05/2017,20000,8,2,,high,568,,0.128874523
08/05/2017,6000,8,4,Medium Risk group others WF medium,medium,597,0.211089637,0.658861728
08/05/2017,20000,2,2,High Sesame score,high,684,0.142522334,0.022848279
08/05/2017,5000,8,4,High risk group others WF medium,high,592,0.180766364,0.435264301
08/05/2017,10000,8,4,High risk group others WF medium,high,612,0.11126708,0.471133591
08/05/2017,5000,8,2,,high,550,,0.281221867
08/05/2017,45000,8,2,Medium Risk group others WF medium,medium,601,0.091212201,0.876581144
08/05/2017,5000,8,2,High risk group lead richhit/hit low score,high,596,0.059211295,0.000433931
08/05/2017,5000,8,2,High risk group others WF hard,high,550,0.123957659,0.004749714
08/05/2017,30000,2,1,Medium Risk Group  richhit Low Score,medium,639,0.076239251,0.337484419
08/05/2017,20000,8,4,Low Sesame Score,high,561,0.127911216,0.307679237
08/05/2017,15000,8,1,High risk group others WF medium,high,648,0.126129062,0.46029472
08/05/2017,45000,8,2,,medium,711,,0.710174971
08/05/2017,30000,2,2,High risk group others WF medium,high,598,0.190322828,0.072951406
08/05/2017,45000,8,1,Low Sesame Score,high,563,0.232160149,0.111143722
08/05/2017,30000,8,1,High risk group bad hit high score,high,576,0.221230675,0.553160408
08/05/2017,40000,8,1,Medium Risk group others WF medium,medium,550,0.125436811,0.383154055
08/05/2017,10000,2,1,High Sesame score,medium,728,0.066645814,0.833968005
08/05/2017,20000,8,2,,,,,0.815100234
08/05/2017,15000,8,1,Medium Risk group others WF medium,medium,589,0.101123228,0.316242964
08/05/2017,10000,8,2,Medium Risk group others WF medium,medium,,0.081655305,0.259164521
08/05/2017,30000,2,1,High Sesame score,high,685,0.064910262,0.582831522
